phase,Average cell at temperature,|$\vec{a}$| [$\text{\AA}$],|$\vec{b}$| [$\text{\AA}$],|$\vec{c}$| [$\text{\AA}$],$\alpha$ [$^\circ$],$\beta$ [$^\circ$],$\gamma$ [$^\circ$],Volume pfu [$\text{\AA}^3$]
$\gamma$,0,12.29,12.29,12.69,90.0,90.0,87.46,240.0
$\gamma$,150,12.27,12.43,12.74,90.05,90.04,90.1,243.0
$\gamma$,187,12.62,12.52,12.65,90.17,89.47,89.99,250.0
$\gamma$,234,12.69,12.59,12.59,89.89,90.72,90.24,251.0
$\gamma$,293,12.64,12.62,12.7,90.4,90.33,89.41,253.0
$\gamma$,350,12.67,12.69,12.67,90.47,90.21,90.05,255.0
$\gamma$,419,12.67,12.67,12.83,89.93,89.3,89.84,257.0
$\gamma$,501,12.74,12.73,12.82,90.27,90.12,89.78,260.0
$\gamma$,600,12.81,12.81,12.83,90.06,89.95,89.72,263.0
$\delta_\text{Cs}$,0,18.54,11.02,9.52,90.0,90.0,90.0,243.0
$\delta_\text{Cs}$,150,19.18,10.82,9.4,89.88,90.31,90.2,244.0
$\delta_\text{Cs}$,187,19.2,10.89,9.38,90.04,90.42,90.0,245.0
$\delta_\text{Cs}$,234,18.64,11.31,9.39,90.03,90.28,90.52,247.0
$\delta_\text{Cs}$,293,19.33,10.87,9.44,90.26,90.13,89.35,248.0
$\delta_\text{Cs}$,350,19.22,10.95,9.52,90.26,90.14,90.11,250.0
$\delta_\text{Cs}$,419,19.12,11.06,9.57,90.52,89.87,91.05,253.0
$\delta_\text{Cs}$,501,19.17,11.12,9.63,90.18,89.89,89.11,257.0
$\delta_\text{Cs}$,600,19.22,11.17,9.73,90.1,89.71,90.54,261.0
$\delta_\text{FA}$,0,15.75,14.67,8.49,86.07,90.0,90.0,245.0
$\delta_\text{FA}$,150,15.72,14.91,8.49,88.52,94.44,89.65,248.0
$\delta_\text{FA}$,187,15.73,14.89,8.51,89.18,93.25,89.62,249.0
$\delta_\text{FA}$,234,15.75,14.9,8.54,89.53,88.41,90.12,250.0
$\delta_\text{FA}$,293,15.72,14.97,8.6,90.05,88.42,89.4,253.0
$\delta_\text{FA}$,350,15.73,14.98,8.66,89.7,90.21,88.47,255.0
$\delta_\text{FA}$,419,15.81,15.04,8.67,89.83,90.49,89.5,258.0
$\delta_\text{FA}$,501,15.85,15.16,8.68,89.82,89.62,89.47,261.0
$\delta_\text{FA}$,600,15.93,15.23,8.75,89.86,90.33,89.98,265.0
